MUTE,127,127,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT (JCM800),50,0,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT (RVerb),48,1,,,,,,,,,,,,,,,,,,,,,,,,
"STF @ Average Joe's | Friday, July 18, 2025",,,# MISSING
Cochise,64,56,2,11,1,2,13,1,,,,,,,,,,,,,,,,,,
Possum Kingdom,17,17,,,,,,,,,,,,,,,,,,,,,,,,
Bound for the Floor,79,35,,,,,,,,,,,,,,,,,,,,,,,,
Little Things,44,1,,,,,,,,,,,,,,,,,,,,,,,,
Wicked Garden,68,1,,,,,,,,,,,,,,,,,,,,,,,,
Hash Pipe,103,57,,,,,,,,,,,,,,,,,,,,,,,,
Highway Tune,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Would?,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Plowed,55,1,2,12,1,2,13,1,2,11,1,,,,,,,,,,,,,,,
Plush,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Suck My Kiss,51,59,,,,,,,,,,,,,,,,,,,,,,,,
Hard to Handle,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Deeds,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Shimmer,59,8,,,,,,,,,,,,,,,,,,,,,,,,
Bullet with Butterfly Wings,69,22,,,,,,,,,,,,,,,,,,,,,,,,
Hey Man Nice Shot,63,27,,,,,,,,,,,,,,,,,,,,,,,,
Higher,48,1,,,,,,,,,,,,,,,,,,,,,,,,
Show Me How To Live,104,60,,,,,,,,,,,,,,,,,,,,,,,,
Crawling in the Dark,99,46,,,,,,,,,,,,,,,,,,,,,,,,
Outshined,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Celebrity Skin,105,58,,,,,,,,,,,,,,,,,,,,,,,,
All Over You,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Low,21,33,,,,,,,,,,,,,,,,,,,,,,,,
"One I Love, The",109,1
Drive,74,14,,,,,,,,,,,,,,,,,,,,,,,,
Inside Out,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Somebody Told Me,86,39,,,,,,,,,,,,,,,,,,,,,,,,
Take Me Out,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Welcome To Paradise,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Emotion,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Interstate Love Song,51,0,,,,,,,,,,,,,,,,,,,,,,,,
"Anthem, The",49,1,,,,,,,,,,,,,,,,,,,,,,,,
Them Bones,70,1,,,,,,,,,,,,,,,,,,,,,,,,
Even Flow,49,1
All My Life,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Fight for Your Right,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Sex Type Thing,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Trippin' on a Hole,51,0,1,43,7,2,16,1,,,,,,,,,,,,,,,,,,
Man in the Box,56,10,2,11,1,2,17,1,,,,,,,,,,,,,,,,,,
War Pigs,53,1,2,11,1,,,,,,,,,,,,,,,,,,,,,
TEST 123,126,1,2,10,1,2,11,1,2,12,1,2,13,1,2,15,1,2,16,1,2,17,1,2,12,1
